Cidade;Estado
Curitiba;PR
Londrina;PR
Maringá;PR
Ponta Grossa;PR
Cascavel;PR
São José dos Pinhais;PR
Foz do Iguaçu;PR
Colombo;PR
Guarapuava;PR
Araucária;PR
Toledo;PR
Fazenda Rio Grande;PR
Paranaguá;PR
Campo Largo;PR
Apucarana;PR
Pinhais;PR
Almirante Tamandaré;PR
Arapongas;PR
Piraquara;PR
Sarandi;PR
Umuarama;PR
Cambé;PR
Campo Mourão;PR
Francisco Beltrão;PR
Paranavaí;PR
Pato Branco;PR
Cianorte;PR
Telêmaco Borba;PR
Castro;PR
Rolândia;PR
Irati;PR
União da Vitória;PR
Marechal Cândido Rondon;PR
Ibiporã;PR
Prudentópolis;PR
Palmas;PR
Campina Grande do Sul;PR
Medianeira;PR
Santo Antônio da Platina;PR
Paiçandu;PR
Cornélio Procópio;PR
Lapa;PR
Dois Vizinhos;PR
São Mateus do Sul;PR
Guaratuba;PR
Jacarezinho;PR
Marialva;PR
Matinhos;PR
Rio Branco do Sul;PR
Assis Chateaubriand;PR
Mandaguari;PR
Jaguariaíva;PR
Palotina;PR
Palmeira;PR
Pitanga;PR
Ivaiporã;PR
Laranjeiras do Sul;PR
Guaíra;PR
Mandaguaçu;PR
Rio Negro;PR
Bandeirantes;PR
Itaperuçu;PR
Quedas do Iguaçu;PR
Pontal do Paraná;PR
Imbituva;PR
Campo Magro;PR
Pinhão;PR
São Miguel do Iguaçu;PR
Ibaiti;PR
Goioerê;PR
Mandirituba;PR
Nova Esperança;PR
Arapoti;PR
Santa Helena;PR
Astorga;PR
Ubiratã;PR
Reserva;PR
Santa Terezinha de Itaipu;PR
Ortigueira;PR
Quatro Barras;PR
Cruzeiro do Oeste;PR
Santo Antônio do Sudoeste;PR
Piraí do Sul;PR
Coronel Vivida;PR
Carambeí;PR
Loanda;PR
Cambará;PR
Colorado;PR
Siqueira Campos;PR
Jandaia do Sul;PR
Chopinzinho;PR
Capanema;PR
Tibagi;PR
Andirá;PR
Ampére;PR
Realeza;PR
Wenceslau Braz;PR
Contenda;PR
Cafelândia;PR
Altônia;PR
Matelândia;PR
Quitandinha;PR
Morretes;PR
Terra Roxa;PR
Antonina;PR
Tijucas do Sul;PR
Terra Boa;PR
Corbélia;PR
Sengés;PR
Mangueirinha;PR
Faxinal;PR
Cerro Azul;PR
Cruz Machado;PR
Sertanópolis;PR
Marmeleiro;PR
Tapejara;PR
Bituruna;PR
Cândido de Abreu;PR
Salto do Lontra;PR
Clevelândia;PR
Candói;PR
Terra Rica;PR
Bela Vista do Paraíso;PR
Capitão Leônidas Marques;PR
Rebouças;PR
Ipiranga;PR
Santa Izabel do Oeste;PR
Rio Azul;PR
Alto Paraná;PR
Assaí;PR
São João do Triunfo;PR
Curiúva;PR
Tamarana;PR
Carlópolis;PR
Paraíso do Norte;PR
Ivaí;PR
Araruna;PR
Peabirú;PR
Engenheiro Beltrão;PR
Campina da Lagoa;PR
Jaguapitã;PR
Mallet;PR
General Carneiro;PR
Iporã;PR
Manoel Ribas;PR
Imbaú;PR
Planalto;PR
Cantagalo;PR
Bocaiuva do Sul;PR
Rio Bonito do Iguaçu;PR
Balsa Nova;PR
Nova Londrina;PR
Piên;PR
Turvo;PR
Cidade Gaúcha;PR
Mamborê;PR
Ribeirão do Pinhal;PR
Teixeira Soares;PR
Palmital;PR
Jataizinho;PR
Porecatu;PR
Querência do Norte;PR
Guaraniaçu;PR
Santa Fé;PR
Itapejara d'Oeste;PR
Ventania;PR
Moreira Sales;PR
Três Barras do Paraná;PR
Joaquim Távora;PR
Céu Azul;PR
Santa Mariana;PR
Paranacity;PR
Nova Laranjeiras;PR
Alvorada do Sul;PR
Barbosa Ferraz;PR
Itaipulândia;PR
Pérola;PR
Uraí;PR
Jardim Alegre;PR
Primeiro de Maio;PR
São Jerônimo da Serra;PR
Inácio Martins;PR
São Pedro do Ivaí;PR
Mauá da Serra;PR
Centenário do Sul;PR
Missal;PR
Ribeirão Claro;PR
Nova Prata do Iguaçu;PR
Florestópolis;PR
Mariluz;PR
Barracão;PR
Nova Aurora;PR
São João;PR
Catanduvas;PR
Iretama;PR
Santa Tereza do Oeste;PR
São João do Ivaí;PR
Alto Piquiri;PR
Roncador;PR
Rondon;PR
Japurá;PR
Agudos do Sul;PR
Santa Maria do Oeste;PR
São Jorge d'Oeste;PR
Tunas do Paraná;PR
Douradina;PR
São Sebastião da Amoreira;PR
Congonhinhas;PR
Marilândia do Sul;PR
Guamiranga;PR
