Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Capitão Leônidas Marques;PR;Curitiba;PR;519.53
Capitão Leônidas Marques;PR;Londrina;PR;445.28
Capitão Leônidas Marques;PR;Maringá;PR;346.04
Capitão Leônidas Marques;PR;Ponta Grossa;PR;425.74
Capitão Leônidas Marques;PR;Cascavel;PR;72.73
Capitão Leônidas Marques;PR;São José dos Pinhais;PR;536.66
Capitão Leônidas Marques;PR;Foz do Iguaçu;PR;179.34
Capitão Leônidas Marques;PR;Colombo;PR;535.06
Capitão Leônidas Marques;PR;Guarapuava;PR;267.9
Capitão Leônidas Marques;PR;Araucária;PR;511.41
Capitão Leônidas Marques;PR;Toledo;PR;110.0
Capitão Leônidas Marques;PR;Fazenda Rio Grande;PR;536.01
Capitão Leônidas Marques;PR;Paranaguá;PR;616.59
Capitão Leônidas Marques;PR;Campo Largo;PR;489.24
Capitão Leônidas Marques;PR;Apucarana;PR;402.72
Capitão Leônidas Marques;PR;Pinhais;PR;526.74
Capitão Leônidas Marques;PR;Almirante Tamandaré;PR;528.9
Capitão Leônidas Marques;PR;Arapongas;PR;406.29
Capitão Leônidas Marques;PR;Piraquara;PR;554.88
Capitão Leônidas Marques;PR;Sarandi;PR;352.93
Capitão Leônidas Marques;PR;Umuarama;PR;234.73
Capitão Leônidas Marques;PR;Cambé;PR;431.66
Capitão Leônidas Marques;PR;Campo Mourão;PR;249.98
Capitão Leônidas Marques;PR;Francisco Beltrão;PR;108.82
Capitão Leônidas Marques;PR;Paranavaí;PR;381.11
Capitão Leônidas Marques;PR;Pato Branco;PR;162.15
Capitão Leônidas Marques;PR;Cianorte;PR;294.05
Capitão Leônidas Marques;PR;Telêmaco Borba;PR;522.97
Capitão Leônidas Marques;PR;Castro;PR;460.06
Capitão Leônidas Marques;PR;Rolândia;PR;424.75
Capitão Leônidas Marques;PR;Irati;PR;368.8
Capitão Leônidas Marques;PR;União da Vitória;PR;387.33
Capitão Leônidas Marques;PR;Marechal Cândido Rondon;PR;150.46
Capitão Leônidas Marques;PR;Ibiporã;PR;455.89
Capitão Leônidas Marques;PR;Prudentópolis;PR;329.68
Capitão Leônidas Marques;PR;Palmas;PR;288.44
Capitão Leônidas Marques;PR;Campina Grande do Sul;PR;548.45
Capitão Leônidas Marques;PR;Medianeira;PR;121.39
Capitão Leônidas Marques;PR;Santo Antônio da Platina;PR;598.28
Capitão Leônidas Marques;PR;Paiçandu;PR;346.65
Capitão Leônidas Marques;PR;Cornélio Procópio;PR;507.12
Capitão Leônidas Marques;PR;Lapa;PR;493.61
Capitão Leônidas Marques;PR;Dois Vizinhos;PR;93.58
Capitão Leônidas Marques;PR;São Mateus do Sul;PR;425.45
Capitão Leônidas Marques;PR;Guaratuba;PR;646.64
Capitão Leônidas Marques;PR;Jacarezinho;PR;595.06
Capitão Leônidas Marques;PR;Marialva;PR;362.09
Capitão Leônidas Marques;PR;Matinhos;PR;636.53
Capitão Leônidas Marques;PR;Rio Branco do Sul;PR;543.67
Capitão Leônidas Marques;PR;Assis Chateaubriand;PR;148.55
Capitão Leônidas Marques;PR;Mandaguari;PR;377.7
Capitão Leônidas Marques;PR;Jaguariaíva;PR;537.25
Capitão Leônidas Marques;PR;Palotina;PR;163.29
Capitão Leônidas Marques;PR;Palmeira;PR;439.91
Capitão Leônidas Marques;PR;Pitanga;PR;306.25
Capitão Leônidas Marques;PR;Ivaiporã;PR;381.0
Capitão Leônidas Marques;PR;Laranjeiras do Sul;PR;158.54
Capitão Leônidas Marques;PR;Guaíra;PR;210.99
Capitão Leônidas Marques;PR;Mandaguaçu;PR;359.3
Capitão Leônidas Marques;PR;Rio Negro;PR;523.13
Capitão Leônidas Marques;PR;Bandeirantes;PR;543.25
Capitão Leônidas Marques;PR;Itaperuçu;PR;543.2
Capitão Leônidas Marques;PR;Quedas do Iguaçu;PR;91.65
Capitão Leônidas Marques;PR;Pontal do Paraná;PR;626.86
Capitão Leônidas Marques;PR;Imbituva;PR;373.4
Capitão Leônidas Marques;PR;Campo Magro;PR;515.38
Capitão Leônidas Marques;PR;Pinhão;PR;273.28
Capitão Leônidas Marques;PR;São Miguel do Iguaçu;PR;137.41
Capitão Leônidas Marques;PR;Ibaiti;PR;582.61
Capitão Leônidas Marques;PR;Goioerê;PR;193.46
Capitão Leônidas Marques;PR;Mandirituba;PR;549.16
Capitão Leônidas Marques;PR;Nova Esperança;PR;380.52
Capitão Leônidas Marques;PR;Arapoti;PR;552.52
Capitão Leônidas Marques;PR;Santa Helena;PR;152.95
Capitão Leônidas Marques;PR;Astorga;PR;398.88
Capitão Leônidas Marques;PR;Ubiratã;PR;156.16
Capitão Leônidas Marques;PR;Reserva;PR;452.63
Capitão Leônidas Marques;PR;Santa Terezinha de Itaipu;PR;157.56
Capitão Leônidas Marques;PR;Ortigueira;PR;495.13
Capitão Leônidas Marques;PR;Quatro Barras;PR;551.1
Capitão Leônidas Marques;PR;Cruzeiro do Oeste;PR;256.26
Capitão Leônidas Marques;PR;Santo Antônio do Sudoeste;PR;93.05
Capitão Leônidas Marques;PR;Piraí do Sul;PR;491.84
Capitão Leônidas Marques;PR;Coronel Vivida;PR;173.87
Capitão Leônidas Marques;PR;Carambeí;PR;440.17
Capitão Leônidas Marques;PR;Loanda;PR;359.95
Capitão Leônidas Marques;PR;Cambará;PR;577.18
Capitão Leônidas Marques;PR;Colorado;PR;433.6
Capitão Leônidas Marques;PR;Siqueira Campos;PR;615.38
Capitão Leônidas Marques;PR;Jandaia do Sul;PR;380.12
Capitão Leônidas Marques;PR;Chopinzinho;PR;161.19
Capitão Leônidas Marques;PR;Capanema;PR;49.77
Capitão Leônidas Marques;PR;Tibagi;PR;487.92
Capitão Leônidas Marques;PR;Andirá;PR;558.5
Capitão Leônidas Marques;PR;Ampére;PR;57.31
Capitão Leônidas Marques;PR;Realeza;PR;36.7
Capitão Leônidas Marques;PR;Wenceslau Braz;PR;587.95
Capitão Leônidas Marques;PR;Contenda;PR;516.53
Capitão Leônidas Marques;PR;Cafelândia;PR;128.28
Capitão Leônidas Marques;PR;Altônia;PR;229.18
Capitão Leônidas Marques;PR;Matelândia;PR;107.73
Capitão Leônidas Marques;PR;Quitandinha;PR;546.55
Capitão Leônidas Marques;PR;Morretes;PR;594.96
Capitão Leônidas Marques;PR;Terra Roxa;PR;192.82
Capitão Leônidas Marques;PR;Antonina;PR;609.28
Capitão Leônidas Marques;PR;Tijucas do Sul;PR;579.24
Capitão Leônidas Marques;PR;Terra Boa;PR;306.52
Capitão Leônidas Marques;PR;Corbélia;PR;102.79
Capitão Leônidas Marques;PR;Sengés;PR;574.37
Capitão Leônidas Marques;PR;Mangueirinha;PR;220.46
Capitão Leônidas Marques;PR;Faxinal;PR;421.81
Capitão Leônidas Marques;PR;Cerro Azul;PR;599.18
Capitão Leônidas Marques;PR;Cruz Machado;PR;351.78
Capitão Leônidas Marques;PR;Sertanópolis;PR;475.86
Capitão Leônidas Marques;PR;Marmeleiro;PR;115.91
Capitão Leônidas Marques;PR;Tapejara;PR;261.44
Capitão Leônidas Marques;PR;Bituruna;PR;353.2
Capitão Leônidas Marques;PR;Cândido de Abreu;PR;380.56
Capitão Leônidas Marques;PR;Salto do Lontra;PR;61.51
Capitão Leônidas Marques;PR;Clevelândia;PR;199.44
Capitão Leônidas Marques;PR;Candói;PR;228.39
Capitão Leônidas Marques;PR;Terra Rica;PR;411.25
Capitão Leônidas Marques;PR;Bela Vista do Paraíso;PR;472.72
Capitão Leônidas Marques;PR;Rebouças;PR;386.16
Capitão Leônidas Marques;PR;Ipiranga;PR;416.21
Capitão Leônidas Marques;PR;Santa Izabel do Oeste;PR;46.0
Capitão Leônidas Marques;PR;Rio Azul;PR;372.29
Capitão Leônidas Marques;PR;Alto Paraná;PR;395.52
Capitão Leônidas Marques;PR;Assaí;PR;487.47
Capitão Leônidas Marques;PR;São João do Triunfo;PR;435.75
Capitão Leônidas Marques;PR;Curiúva;PR;569.66
Capitão Leônidas Marques;PR;Tamarana;PR;467.85
Capitão Leônidas Marques;PR;Carlópolis;PR;642.36
Capitão Leônidas Marques;PR;Paraíso do Norte;PR;350.66
Capitão Leônidas Marques;PR;Ivaí;PR;376.55
Capitão Leônidas Marques;PR;Araruna;PR;271.41
Capitão Leônidas Marques;PR;Peabirú;PR;272.46
Capitão Leônidas Marques;PR;Engenheiro Beltrão;PR;289.17
Capitão Leônidas Marques;PR;Campina da Lagoa;PR;186.47
Capitão Leônidas Marques;PR;Jaguapitã;PR;419.25
Capitão Leônidas Marques;PR;Mallet;PR;390.78
Capitão Leônidas Marques;PR;General Carneiro;PR;348.07
Capitão Leônidas Marques;PR;Iporã;PR;205.48
Capitão Leônidas Marques;PR;Manoel Ribas;PR;341.79
Capitão Leônidas Marques;PR;Imbaú;PR;500.18
Capitão Leônidas Marques;PR;Planalto;PR;58.17
Capitão Leônidas Marques;PR;Cantagalo;PR;187.92
Capitão Leônidas Marques;PR;Bocaiuva do Sul;PR;556.93
Capitão Leônidas Marques;PR;Rio Bonito do Iguaçu;PR;174.19
Capitão Leônidas Marques;PR;Balsa Nova;PR;500.87
Capitão Leônidas Marques;PR;Nova Londrina;PR;389.17
Capitão Leônidas Marques;PR;Piên;PR;593.67
Capitão Leônidas Marques;PR;Turvo;PR;304.16
Capitão Leônidas Marques;PR;Cidade Gaúcha;PR;302.32
Capitão Leônidas Marques;PR;Mamborê;PR;216.57
Capitão Leônidas Marques;PR;Ribeirão do Pinhal;PR;562.53
Capitão Leônidas Marques;PR;Teixeira Soares;PR;391.14
Capitão Leônidas Marques;PR;Palmital;PR;234.28
Capitão Leônidas Marques;PR;Jataizinho;PR;466.71
Capitão Leônidas Marques;PR;Porecatu;PR;469.74
Capitão Leônidas Marques;PR;Querência do Norte;PR;331.09
Capitão Leônidas Marques;PR;Guaraniaçu;PR;136.06
Capitão Leônidas Marques;PR;Santa Fé;PR;397.71
Capitão Leônidas Marques;PR;Itapejara d'Oeste;PR;132.26
Capitão Leônidas Marques;PR;Ventania;PR;531.34
Capitão Leônidas Marques;PR;Moreira Sales;PR;214.45
Capitão Leônidas Marques;PR;Três Barras do Paraná;PR;63.95
Capitão Leônidas Marques;PR;Joaquim Távora;PR;618.0
Capitão Leônidas Marques;PR;Céu Azul;PR;87.58
Capitão Leônidas Marques;PR;Santa Mariana;PR;523.38
Capitão Leônidas Marques;PR;Paranacity;PR;412.39
Capitão Leônidas Marques;PR;Nova Laranjeiras;PR;139.31
Capitão Leônidas Marques;PR;Alvorada do Sul;PR;498.24
Capitão Leônidas Marques;PR;Barbosa Ferraz;PR;310.87
Capitão Leônidas Marques;PR;Itaipulândia;PR;151.27
Capitão Leônidas Marques;PR;Pérola;PR;237.27
Capitão Leônidas Marques;PR;Uraí;PR;496.99
Capitão Leônidas Marques;PR;Jardim Alegre;PR;372.35
Capitão Leônidas Marques;PR;Primeiro de Maio;PR;500.32
Capitão Leônidas Marques;PR;São Jerônimo da Serra;PR;534.33
Capitão Leônidas Marques;PR;Inácio Martins;PR;324.6
Capitão Leônidas Marques;PR;São Pedro do Ivaí;PR;365.19
Capitão Leônidas Marques;PR;Mauá da Serra;PR;443.16
Capitão Leônidas Marques;PR;Centenário do Sul;PR;441.2
Capitão Leônidas Marques;PR;Missal;PR;149.49
Capitão Leônidas Marques;PR;Ribeirão Claro;PR;627.99
Capitão Leônidas Marques;PR;Nova Prata do Iguaçu;PR;41.99
Capitão Leônidas Marques;PR;Florestópolis;PR;456.26
Capitão Leônidas Marques;PR;Mariluz;PR;223.11
Capitão Leônidas Marques;PR;Barracão;PR;118.64
Capitão Leônidas Marques;PR;Nova Aurora;PR;140.61
Capitão Leônidas Marques;PR;São João;PR;139.24
Capitão Leônidas Marques;PR;Catanduvas;PR;92.81
Capitão Leônidas Marques;PR;Iretama;PR;285.68
Capitão Leônidas Marques;PR;Santa Tereza do Oeste;PR;59.7
Capitão Leônidas Marques;PR;São João do Ivaí;PR;343.55
Capitão Leônidas Marques;PR;Alto Piquiri;PR;200.37
Capitão Leônidas Marques;PR;Roncador;PR;253.75
Capitão Leônidas Marques;PR;Rondon;PR;326.52
Capitão Leônidas Marques;PR;Japurá;PR;316.88
Capitão Leônidas Marques;PR;Agudos do Sul;PR;576.7
Capitão Leônidas Marques;PR;Santa Maria do Oeste;PR;274.68
Capitão Leônidas Marques;PR;São Jorge d'Oeste;PR;114.78
Capitão Leônidas Marques;PR;Tunas do Paraná;PR;595.5
Capitão Leônidas Marques;PR;Douradina;PR;289.5
Capitão Leônidas Marques;PR;São Sebastião da Amoreira;PR;505.2
Capitão Leônidas Marques;PR;Congonhinhas;PR;537.38
Capitão Leônidas Marques;PR;Marilândia do Sul;PR;432.84
Capitão Leônidas Marques;PR;Guamiranga;PR;347.43
Capitão Leônidas Marques;PR;Califórnia;PR;420.91
Capitão Leônidas Marques;PR;Tuneiras do Oeste;PR;242.26
Capitão Leônidas Marques;PR;Santa Isabel do Ivaí;PR;342.9
Capitão Leônidas Marques;PR;Vera Cruz do Oeste;PR;93.05
Capitão Leônidas Marques;PR;Jesuítas;PR;163.73
Capitão Leônidas Marques;PR;Nova Santa Rosa;PR;147.27
Capitão Leônidas Marques;PR;Ivaté;PR;282.17
Capitão Leônidas Marques;PR;Nova Fátima;PR;537.89
Capitão Leônidas Marques;PR;Tupãssi;PR;129.88
Capitão Leônidas Marques;PR;Reserva do Iguaçu;PR;243.49
Capitão Leônidas Marques;PR;Campo do Tenente;PR;521.69
Capitão Leônidas Marques;PR;Cambira;PR;388.92
Capitão Leônidas Marques;PR;Tomazina;PR;606.73
Capitão Leônidas Marques;PR;Icaraíma;PR;298.68
Capitão Leônidas Marques;PR;Santa Cruz de Monte Castelo;PR;357.87
Capitão Leônidas Marques;PR;Figueira;PR;591.97
Capitão Leônidas Marques;PR;Guaraqueçaba;PR;698.02
Capitão Leônidas Marques;PR;Boa Vista da Aparecida;PR;31.38
Capitão Leônidas Marques;PR;Coronel Domingos Soares;PR;270.93
Capitão Leônidas Marques;PR;Quatiguá;PR;626.71
Capitão Leônidas Marques;PR;Antônio Olinto;PR;455.74
Capitão Leônidas Marques;PR;Abatiá;PR;565.13
Capitão Leônidas Marques;PR;Paulo Frontin;PR;410.94
Capitão Leônidas Marques;PR;Juranda;PR;180.58
Capitão Leônidas Marques;PR;Luiziana;PR;276.07
Capitão Leônidas Marques;PR;Bom Sucesso;PR;359.47
Capitão Leônidas Marques;PR;Verê;PR;117.15
Capitão Leônidas Marques;PR;Marilena;PR;393.16
Capitão Leônidas Marques;PR;Goioxim;PR;219.76
Capitão Leônidas Marques;PR;Jussara;PR;308.53
Capitão Leônidas Marques;PR;São Carlos do Ivaí;PR;368.69
Capitão Leônidas Marques;PR;Sabáudia;PR;412.9
Capitão Leônidas Marques;PR;Vitorino;PR;148.19
Capitão Leônidas Marques;PR;Floresta;PR;319.17
Capitão Leônidas Marques;PR;Renascença;PR;122.13
Capitão Leônidas Marques;PR;Sapopema;PR;567.01
Capitão Leônidas Marques;PR;Mariópolis;PR;176.92
Capitão Leônidas Marques;PR;Guairaçá;PR;385.44
Capitão Leônidas Marques;PR;Itambaracá;PR;554.99
Capitão Leônidas Marques;PR;Amaporã;PR;367.72
Capitão Leônidas Marques;PR;Ibema;PR;119.22
Capitão Leônidas Marques;PR;Formosa do Oeste;PR;176.92
Capitão Leônidas Marques;PR;Boa Ventura de São Roque;PR;327.09
Capitão Leônidas Marques;PR;Pinhalão;PR;601.39
Capitão Leônidas Marques;PR;Borrazópolis;PR;397.99
Capitão Leônidas Marques;PR;Pérola d'Oeste;PR;60.68
Capitão Leônidas Marques;PR;Perobal;PR;215.57
Capitão Leônidas Marques;PR;São José da Boa Vista;PR;602.7
Capitão Leônidas Marques;PR;Itambé;PR;330.9
Capitão Leônidas Marques;PR;Ouro Verde do Oeste;PR;125.64
Capitão Leônidas Marques;PR;Doutor Camargo;PR;349.05
Capitão Leônidas Marques;PR;Francisco Alves;PR;188.6
Capitão Leônidas Marques;PR;Paula Freitas;PR;403.78
Capitão Leônidas Marques;PR;Enéas Marques;PR;91.55
Capitão Leônidas Marques;PR;Nova Olímpia;PR;280.94
Capitão Leônidas Marques;PR;São João do Caiuá;PR;411.69
Capitão Leônidas Marques;PR;Adrianópolis;PR;649.76
Capitão Leônidas Marques;PR;São Tomé;PR;308.69
Capitão Leônidas Marques;PR;Pato Bragado;PR;170.4
Capitão Leônidas Marques;PR;São Pedro do Iguaçu;PR;90.54
Capitão Leônidas Marques;PR;Laranjal;PR;255.68
Capitão Leônidas Marques;PR;Mercedes;PR;166.88
Capitão Leônidas Marques;PR;Maria Helena;PR;256.34
Capitão Leônidas Marques;PR;Xambrê;PR;251.95
Capitão Leônidas Marques;PR;Saudade do Iguaçu;PR;165.48
Capitão Leônidas Marques;PR;Maripá;PR;144.82
Capitão Leônidas Marques;PR;Fernandes Pinheiro;PR;380.22
Capitão Leônidas Marques;PR;Guaraci;PR;421.8
Capitão Leônidas Marques;PR;São Jorge do Ivaí;PR;353.9
Capitão Leônidas Marques;PR;São Jorge do Patrocínio;PR;243.07
Capitão Leônidas Marques;PR;Doutor Ulysses;PR;601.03
Capitão Leônidas Marques;PR;Tapira;PR;299.01
Capitão Leônidas Marques;PR;Santo Inácio;PR;439.95
Capitão Leônidas Marques;PR;Presidente Castelo Branco;PR;370.44
Capitão Leônidas Marques;PR;Grandes Rios;PR;436.21
Capitão Leônidas Marques;PR;Braganey;PR;125.87
Capitão Leônidas Marques;PR;Jaboti;PR;603.36
Capitão Leônidas Marques;PR;Diamante D'Oeste;PR;120.52
Capitão Leônidas Marques;PR;Nova Tebas;PR;320.85
Capitão Leônidas Marques;PR;Tamboara;PR;365.36
Capitão Leônidas Marques;PR;Sertaneja;PR;512.17
Capitão Leônidas Marques;PR;Pranchita;PR;85.91
Capitão Leônidas Marques;PR;Honório Serpa;PR;203.57
Capitão Leônidas Marques;PR;Nova Esperança do Sudoeste;PR;78.33
Capitão Leônidas Marques;PR;Diamante do Norte;PR;413.05
Capitão Leônidas Marques;PR;Lupionópolis;PR;445.29
Capitão Leônidas Marques;PR;Janiópolis;PR;220.62
Capitão Leônidas Marques;PR;Japira;PR;591.31
Capitão Leônidas Marques;PR;Santana do Itararé;PR;616.5
Capitão Leônidas Marques;PR;Porto Amazonas;PR;457.77
Capitão Leônidas Marques;PR;Floraí;PR;382.49
Capitão Leônidas Marques;PR;Salto do Itararé;PR;642.08
Capitão Leônidas Marques;PR;Lobato;PR;414.04
Capitão Leônidas Marques;PR;ova Cantu;PR;215.28
Capitão Leônidas Marques;PR;Fênix;PR;323.37
Capitão Leônidas Marques;PR;Lunardelli;PR;357.76
Capitão Leônidas Marques;PR;Marumbi;PR;377.99
Capitão Leônidas Marques;PR;Entre Rios do Oeste;PR;179.59
Capitão Leônidas Marques;PR;Rosário do Ivaí;PR;468.06
Capitão Leônidas Marques;PR;Flor da Serra do Sul;PR;119.61
Capitão Leônidas Marques;PR;Ramilândia;PR;113.97
Capitão Leônidas Marques;PR;Lindoeste;PR;32.46
Capitão Leônidas Marques;PR;Iguaraçu;PR;379.89
Capitão Leônidas Marques;PR;Indianópolis;PR;317.31
Capitão Leônidas Marques;PR;Foz do Jordão;PR;225.77
Capitão Leônidas Marques;PR;Serranópolis do Iguaçu;PR;133.21
Capitão Leônidas Marques;PR;Quinta do Sol;PR;302.56
Capitão Leônidas Marques;PR;Cruzeiro do Sul;PR;408.77
Capitão Leônidas Marques;PR;Itaguajé;PR;458.12
Capitão Leônidas Marques;PR;Quarto Centenário;PR;178.65
Capitão Leônidas Marques;PR;Nova Santa Bárbara;PR;518.44
Capitão Leônidas Marques;PR;Marquinho;PR;197.82
Capitão Leônidas Marques;PR;Planaltina do Paraná;PR;352.29
Capitão Leônidas Marques;PR;Cruzeiro do Iguaçu;PR;71.89
