Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Cascavel;PR;Curitiba;PR;506.2
Cascavel;PR;Londrina;PR;380.11
Cascavel;PR;Maringá;PR;280.88
Cascavel;PR;Ponta Grossa;PR;412.41
Cascavel;PR;São José dos Pinhais;PR;523.33
Cascavel;PR;Foz do Iguaçu;PR;138.52
Cascavel;PR;Colombo;PR;521.73
Cascavel;PR;Guarapuava;PR;254.57
Cascavel;PR;Araucária;PR;498.08
Cascavel;PR;Toledo;PR;44.05
Cascavel;PR;Fazenda Rio Grande;PR;522.68
Cascavel;PR;Paranaguá;PR;603.26
Cascavel;PR;Campo Largo;PR;475.91
Cascavel;PR;Apucarana;PR;337.56
Cascavel;PR;Pinhais;PR;513.41
Cascavel;PR;Almirante Tamandaré;PR;515.57
Cascavel;PR;Arapongas;PR;341.13
Cascavel;PR;Piraquara;PR;541.55
Cascavel;PR;Sarandi;PR;287.77
Cascavel;PR;Umuarama;PR;168.78
Cascavel;PR;Cambé;PR;366.49
Cascavel;PR;Campo Mourão;PR;184.11
Cascavel;PR;Francisco Beltrão;PR;178.75
Cascavel;PR;Paranavaí;PR;315.16
Cascavel;PR;Pato Branco;PR;232.09
Cascavel;PR;Cianorte;PR;228.89
Cascavel;PR;Telêmaco Borba;PR;482.47
Cascavel;PR;Castro;PR;446.73
Cascavel;PR;Rolândia;PR;359.58
Cascavel;PR;Irati;PR;355.47
Cascavel;PR;União da Vitória;PR;420.3
Cascavel;PR;Marechal Cândido Rondon;PR;84.52
Cascavel;PR;Ibiporã;PR;390.73
Cascavel;PR;Prudentópolis;PR;316.35
Cascavel;PR;Palmas;PR;337.35
Cascavel;PR;Campina Grande do Sul;PR;535.12
Cascavel;PR;Medianeira;PR;80.57
Cascavel;PR;Santo Antônio da Platina;PR;533.11
Cascavel;PR;Paiçandu;PR;281.48
Cascavel;PR;Cornélio Procópio;PR;441.96
Cascavel;PR;Lapa;PR;480.28
Cascavel;PR;Dois Vizinhos;PR;157.24
Cascavel;PR;São Mateus do Sul;PR;412.12
Cascavel;PR;Guaratuba;PR;633.31
