Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Guaraniaçu;PR;Curitiba;PR;428.63
Guaraniaçu;PR;Londrina;PR;430.39
Guaraniaçu;PR;Maringá;PR;331.16
Guaraniaçu;PR;Ponta Grossa;PR;334.84
Guaraniaçu;PR;Cascavel;PR;78.41
Guaraniaçu;PR;São José dos Pinhais;PR;445.76
Guaraniaçu;PR;Foz do Iguaçu;PR;209.6
Guaraniaçu;PR;Colombo;PR;444.16
Guaraniaçu;PR;Guarapuava;PR;177.0
Guaraniaçu;PR;Araucária;PR;420.51
Guaraniaçu;PR;Toledo;PR;113.8
Guaraniaçu;PR;Fazenda Rio Grande;PR;445.11
Guaraniaçu;PR;Paranaguá;PR;525.69
Guaraniaçu;PR;Campo Largo;PR;398.34
Guaraniaçu;PR;Apucarana;PR;387.84
Guaraniaçu;PR;Pinhais;PR;435.84
Guaraniaçu;PR;Almirante Tamandaré;PR;438.0
Guaraniaçu;PR;Arapongas;PR;391.41
Guaraniaçu;PR;Piraquara;PR;463.97
Guaraniaçu;PR;Sarandi;PR;338.05
Guaraniaçu;PR;Umuarama;PR;238.52
Guaraniaçu;PR;Cambé;PR;416.77
Guaraniaçu;PR;Campo Mourão;PR;234.38
Guaraniaçu;PR;Francisco Beltrão;PR;202.12
Guaraniaçu;PR;Paranavaí;PR;368.05
Guaraniaçu;PR;Pato Branco;PR;195.36
Guaraniaçu;PR;Cianorte;PR;279.17
Guaraniaçu;PR;Telêmaco Borba;PR;432.07
Guaraniaçu;PR;Castro;PR;369.16
Guaraniaçu;PR;Rolândia;PR;409.86
Guaraniaçu;PR;Irati;PR;277.9
Guaraniaçu;PR;União da Vitória;PR;342.73
Guaraniaçu;PR;Marechal Cândido Rondon;PR;154.26
Guaraniaçu;PR;Ibiporã;PR;441.01
Guaraniaçu;PR;Prudentópolis;PR;238.78
Guaraniaçu;PR;Palmas;PR;259.78
Guaraniaçu;PR;Campina Grande do Sul;PR;457.55
Guaraniaçu;PR;Medianeira;PR;151.65
