Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Laranjeiras do Sul;PR;Curitiba;PR;365.09
Laranjeiras do Sul;PR;Londrina;PR;378.36
Laranjeiras do Sul;PR;Maringá;PR;360.84
Laranjeiras do Sul;PR;Ponta Grossa;PR;271.3
Laranjeiras do Sul;PR;Cascavel;PR;145.41
Laranjeiras do Sul;PR;São José dos Pinhais;PR;382.22
Laranjeiras do Sul;PR;Foz do Iguaçu;PR;276.6
Laranjeiras do Sul;PR;Colombo;PR;380.62
Laranjeiras do Sul;PR;Guarapuava;PR;113.46
Laranjeiras do Sul;PR;Araucária;PR;356.97
Laranjeiras do Sul;PR;Toledo;PR;180.8
Laranjeiras do Sul;PR;Fazenda Rio Grande;PR;381.57
Laranjeiras do Sul;PR;Paranaguá;PR;462.15
Laranjeiras do Sul;PR;Campo Largo;PR;334.8
Laranjeiras do Sul;PR;Apucarana;PR;327.56
Laranjeiras do Sul;PR;Pinhais;PR;372.3
Laranjeiras do Sul;PR;Almirante Tamandaré;PR;374.46
Laranjeiras do Sul;PR;Arapongas;PR;350.27
Laranjeiras do Sul;PR;Piraquara;PR;400.44
Laranjeiras do Sul;PR;Sarandi;PR;367.73
Laranjeiras do Sul;PR;Umuarama;PR;305.52
Laranjeiras do Sul;PR;Cambé;PR;372.4
Laranjeiras do Sul;PR;Campo Mourão;PR;268.59
Laranjeiras do Sul;PR;Francisco Beltrão;PR;136.04
Laranjeiras do Sul;PR;Paranavaí;PR;427.03
Laranjeiras do Sul;PR;Pato Branco;PR;129.28
Laranjeiras do Sul;PR;Cianorte;PR;345.99
Laranjeiras do Sul;PR;Telêmaco Borba;PR;368.53
Laranjeiras do Sul;PR;Castro;PR;305.62
Laranjeiras do Sul;PR;Rolândia;PR;365.48
Laranjeiras do Sul;PR;Irati;PR;214.36
Laranjeiras do Sul;PR;União da Vitória;PR;279.19
Laranjeiras do Sul;PR;Marechal Cândido Rondon;PR;221.26
Laranjeiras do Sul;PR;Ibiporã;PR;391.16
Laranjeiras do Sul;PR;Prudentópolis;PR;175.24
Laranjeiras do Sul;PR;Palmas;PR;193.7
Laranjeiras do Sul;PR;Campina Grande do Sul;PR;394.01
Laranjeiras do Sul;PR;Medianeira;PR;218.65
Laranjeiras do Sul;PR;Santo Antônio da Platina;PR;495.32
Laranjeiras do Sul;PR;Paiçandu;PR;361.44
