Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Nova Santa Rosa;PR;Curitiba;PR;579.34
Nova Santa Rosa;PR;Londrina;PR;380.67
Nova Santa Rosa;PR;Maringá;PR;280.49
Nova Santa Rosa;PR;Ponta Grossa;PR;485.55
Nova Santa Rosa;PR;Cascavel;PR;79.65
Nova Santa Rosa;PR;São José dos Pinhais;PR;596.47
Nova Santa Rosa;PR;Foz do Iguaçu;PR;191.84
Nova Santa Rosa;PR;Colombo;PR;594.87
Nova Santa Rosa;PR;Guarapuava;PR;327.71
Nova Santa Rosa;PR;Araucária;PR;571.22
Nova Santa Rosa;PR;Toledo;PR;40.41
Nova Santa Rosa;PR;Fazenda Rio Grande;PR;595.82
Nova Santa Rosa;PR;Paranaguá;PR;676.4
Nova Santa Rosa;PR;Campo Largo;PR;549.05
Nova Santa Rosa;PR;Apucarana;PR;342.81
Nova Santa Rosa;PR;Pinhais;PR;586.55
Nova Santa Rosa;PR;Almirante Tamandaré;PR;588.71
Nova Santa Rosa;PR;Arapongas;PR;341.69
Nova Santa Rosa;PR;Piraquara;PR;614.68
Nova Santa Rosa;PR;Sarandi;PR;288.33
Nova Santa Rosa;PR;Umuarama;PR;124.48
Nova Santa Rosa;PR;Cambé;PR;367.05
Nova Santa Rosa;PR;Campo Mourão;PR;200.16
Nova Santa Rosa;PR;Francisco Beltrão;PR;252.69
Nova Santa Rosa;PR;Paranavaí;PR;270.86
Nova Santa Rosa;PR;Pato Branco;PR;306.03
Nova Santa Rosa;PR;Cianorte;PR;204.01
Nova Santa Rosa;PR;Telêmaco Borba;PR;500.31
Nova Santa Rosa;PR;Castro;PR;519.87
Nova Santa Rosa;PR;Rolândia;PR;360.14
Nova Santa Rosa;PR;Irati;PR;428.61
Nova Santa Rosa;PR;União da Vitória;PR;493.44
Nova Santa Rosa;PR;Marechal Cândido Rondon;PR;18.05
Nova Santa Rosa;PR;Ibiporã;PR;391.29
Nova Santa Rosa;PR;Prudentópolis;PR;389.49
Nova Santa Rosa;PR;Palmas;PR;410.49
Nova Santa Rosa;PR;Campina Grande do Sul;PR;608.26
Nova Santa Rosa;PR;Medianeira;PR;133.89
Nova Santa Rosa;PR;Santo Antônio da Platina;PR;533.67
Nova Santa Rosa;PR;Paiçandu;PR;268.57
Nova Santa Rosa;PR;Cornélio Procópio;PR;442.52
Nova Santa Rosa;PR;Lapa;PR;553.41
Nova Santa Rosa;PR;Dois Vizinhos;PR;231.18
Nova Santa Rosa;PR;São Mateus do Sul;PR;485.26
Nova Santa Rosa;PR;Guaratuba;PR;706.45
Nova Santa Rosa;PR;Jacarezinho;PR;530.45
Nova Santa Rosa;PR;Marialva;PR;297.49
Nova Santa Rosa;PR;Matinhos;PR;696.34
Nova Santa Rosa;PR;Rio Branco do Sul;PR;603.48
Nova Santa Rosa;PR;Assis Chateaubriand;PR;55.26
Nova Santa Rosa;PR;Mandaguari;PR;313.1
Nova Santa Rosa;PR;Jaguariaíva;PR;597.06
Nova Santa Rosa;PR;Palotina;PR;28.45
Nova Santa Rosa;PR;Palmeira;PR;499.72
Nova Santa Rosa;PR;Pitanga;PR;314.53
Nova Santa Rosa;PR;Ivaiporã;PR;322.04
Nova Santa Rosa;PR;Laranjeiras do Sul;PR;218.35
Nova Santa Rosa;PR;Guaíra;PR;75.59
Nova Santa Rosa;PR;Mandaguaçu;PR;282.86
Nova Santa Rosa;PR;Rio Negro;PR;582.94
Nova Santa Rosa;PR;Bandeirantes;PR;478.65
Nova Santa Rosa;PR;Itaperuçu;PR;603.01
Nova Santa Rosa;PR;Quedas do Iguaçu;PR;198.79
Nova Santa Rosa;PR;Pontal do Paraná;PR;686.67
Nova Santa Rosa;PR;Imbituva;PR;433.21
Nova Santa Rosa;PR;Campo Magro;PR;575.19
Nova Santa Rosa;PR;Pinhão;PR;333.09
Nova Santa Rosa;PR;São Miguel do Iguaçu;PR;141.31
Nova Santa Rosa;PR;Ibaiti;PR;535.7
Nova Santa Rosa;PR;Goioerê;PR;126.14
Nova Santa Rosa;PR;Mandirituba;PR;608.97
