Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Ouro Verde do Oeste;PR;Curitiba;PR;557.61
Ouro Verde do Oeste;PR;Londrina;PR;398.02
Ouro Verde do Oeste;PR;Maringá;PR;298.79
Ouro Verde do Oeste;PR;Ponta Grossa;PR;463.82
Ouro Verde do Oeste;PR;Cascavel;PR;57.92
Ouro Verde do Oeste;PR;São José dos Pinhais;PR;574.74
Ouro Verde do Oeste;PR;Foz do Iguaçu;PR;151.55
Ouro Verde do Oeste;PR;Colombo;PR;573.14
Ouro Verde do Oeste;PR;Guarapuava;PR;305.98
Ouro Verde do Oeste;PR;Araucária;PR;549.49
Ouro Verde do Oeste;PR;Toledo;PR;22.23
Ouro Verde do Oeste;PR;Fazenda Rio Grande;PR;574.08
Ouro Verde do Oeste;PR;Paranaguá;PR;654.67
Ouro Verde do Oeste;PR;Campo Largo;PR;527.32
Ouro Verde do Oeste;PR;Apucarana;PR;355.47
Ouro Verde do Oeste;PR;Pinhais;PR;564.82
Ouro Verde do Oeste;PR;Almirante Tamandaré;PR;566.98
Ouro Verde do Oeste;PR;Arapongas;PR;359.04
Ouro Verde do Oeste;PR;Piraquara;PR;592.95
Ouro Verde do Oeste;PR;Sarandi;PR;305.68
Ouro Verde do Oeste;PR;Umuarama;PR;153.15
Ouro Verde do Oeste;PR;Cambé;PR;384.41
Ouro Verde do Oeste;PR;Campo Mourão;PR;211.87
Ouro Verde do Oeste;PR;Francisco Beltrão;PR;230.96
Ouro Verde do Oeste;PR;Paranavaí;PR;299.53
Ouro Verde do Oeste;PR;Pato Branco;PR;284.3
Ouro Verde do Oeste;PR;Cianorte;PR;232.68
Ouro Verde do Oeste;PR;Telêmaco Borba;PR;512.02
Ouro Verde do Oeste;PR;Castro;PR;498.14
Ouro Verde do Oeste;PR;Rolândia;PR;377.49
Ouro Verde do Oeste;PR;Irati;PR;406.88
Ouro Verde do Oeste;PR;União da Vitória;PR;471.71
Ouro Verde do Oeste;PR;Marechal Cândido Rondon;PR;61.06
Ouro Verde do Oeste;PR;Ibiporã;PR;408.64
Ouro Verde do Oeste;PR;Prudentópolis;PR;367.75
Ouro Verde do Oeste;PR;Palmas;PR;388.76
Ouro Verde do Oeste;PR;Campina Grande do Sul;PR;586.53
Ouro Verde do Oeste;PR;Medianeira;PR;93.6
Ouro Verde do Oeste;PR;Santo Antônio da Platina;PR;551.03
Ouro Verde do Oeste;PR;Paiçandu;PR;297.23
Ouro Verde do Oeste;PR;Cornélio Procópio;PR;459.87
Ouro Verde do Oeste;PR;Lapa;PR;531.68
Ouro Verde do Oeste;PR;Dois Vizinhos;PR;209.45
Ouro Verde do Oeste;PR;São Mateus do Sul;PR;463.53
Ouro Verde do Oeste;PR;Guaratuba;PR;684.72
Ouro Verde do Oeste;PR;Jacarezinho;PR;547.81
