Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Salto do Lontra;PR;Curitiba;PR;498.29
Salto do Lontra;PR;Londrina;PR;499.56
Salto do Lontra;PR;Maringá;PR;400.32
Salto do Lontra;PR;Ponta Grossa;PR;404.5
Salto do Lontra;PR;Cascavel;PR;124.14
Salto do Lontra;PR;São José dos Pinhais;PR;515.42
Salto do Lontra;PR;Foz do Iguaçu;PR;230.75
Salto do Lontra;PR;Colombo;PR;513.82
Salto do Lontra;PR;Guarapuava;PR;246.66
Salto do Lontra;PR;Araucária;PR;490.17
Salto do Lontra;PR;Toledo;PR;161.41
Salto do Lontra;PR;Fazenda Rio Grande;PR;514.77
Salto do Lontra;PR;Paranaguá;PR;595.35
Salto do Lontra;PR;Campo Largo;PR;468.0
Salto do Lontra;PR;Apucarana;PR;457.0
Salto do Lontra;PR;Pinhais;PR;505.5
Salto do Lontra;PR;Almirante Tamandaré;PR;507.66
Salto do Lontra;PR;Arapongas;PR;460.57
Salto do Lontra;PR;Piraquara;PR;533.64
Salto do Lontra;PR;Sarandi;PR;407.21
Salto do Lontra;PR;Umuarama;PR;286.14
Salto do Lontra;PR;Cambé;PR;485.94
Salto do Lontra;PR;Campo Mourão;PR;304.26
Salto do Lontra;PR;Francisco Beltrão;PR;55.84
Salto do Lontra;PR;Paranavaí;PR;432.52
Salto do Lontra;PR;Pato Branco;PR;107.16
Salto do Lontra;PR;Cianorte;PR;348.33
Salto do Lontra;PR;Telêmaco Borba;PR;501.73
Salto do Lontra;PR;Castro;PR;438.82
Salto do Lontra;PR;Rolândia;PR;479.02
Salto do Lontra;PR;Irati;PR;347.56
Salto do Lontra;PR;União da Vitória;PR;352.82
Salto do Lontra;PR;Marechal Cândido Rondon;PR;201.88
Salto do Lontra;PR;Ibiporã;PR;510.17
Salto do Lontra;PR;Prudentópolis;PR;308.44
Salto do Lontra;PR;Palmas;PR;217.82
Salto do Lontra;PR;Campina Grande do Sul;PR;527.22
Salto do Lontra;PR;Medianeira;PR;172.8
Salto do Lontra;PR;Santo Antônio da Platina;PR;628.52
Salto do Lontra;PR;Paiçandu;PR;400.93
Salto do Lontra;PR;Cornélio Procópio;PR;561.4
Salto do Lontra;PR;Lapa;PR;472.37
Salto do Lontra;PR;Dois Vizinhos;PR;32.34
Salto do Lontra;PR;São Mateus do Sul;PR;404.21
Salto do Lontra;PR;Guaratuba;PR;625.4
Salto do Lontra;PR;Jacarezinho;PR;649.34
Salto do Lontra;PR;Marialva;PR;416.37
Salto do Lontra;PR;Matinhos;PR;615.29
Salto do Lontra;PR;Rio Branco do Sul;PR;522.43
Salto do Lontra;PR;Assis Chateaubriand;PR;199.96
Salto do Lontra;PR;Mandaguari;PR;431.98
Salto do Lontra;PR;Jaguariaíva;PR;516.01
Salto do Lontra;PR;Palotina;PR;214.7
Salto do Lontra;PR;Palmeira;PR;418.67
Salto do Lontra;PR;Pitanga;PR;305.76
Salto do Lontra;PR;Ivaiporã;PR;377.25
Salto do Lontra;PR;Laranjeiras do Sul;PR;154.8
Salto do Lontra;PR;Guaíra;PR;262.4
Salto do Lontra;PR;Mandaguaçu;PR;413.58
Salto do Lontra;PR;Rio Negro;PR;500.43
Salto do Lontra;PR;Bandeirantes;PR;597.53
Salto do Lontra;PR;Itaperuçu;PR;521.96
Salto do Lontra;PR;Quedas do Iguaçu;PR;99.94
Salto do Lontra;PR;Pontal do Paraná;PR;605.62
Salto do Lontra;PR;Imbituva;PR;352.16
Salto do Lontra;PR;Campo Magro;PR;494.15
Salto do Lontra;PR;Pinhão;PR;228.74
Salto do Lontra;PR;São Miguel do Iguaçu;PR;188.82
Salto do Lontra;PR;Ibaiti;PR;561.37
Salto do Lontra;PR;Goioerê;PR;247.73
Salto do Lontra;PR;Mandirituba;PR;527.92
Salto do Lontra;PR;Nova Esperança;PR;434.8
Salto do Lontra;PR;Arapoti;PR;531.28
