Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Santa Tereza do Oeste;PR;Curitiba;PR;518.37
Santa Tereza do Oeste;PR;Londrina;PR;392.29
Santa Tereza do Oeste;PR;Maringá;PR;293.06
Santa Tereza do Oeste;PR;Ponta Grossa;PR;424.58
Santa Tereza do Oeste;PR;Cascavel;PR;19.74
Santa Tereza do Oeste;PR;São José dos Pinhais;PR;535.5
Santa Tereza do Oeste;PR;Foz do Iguaçu;PR;120.81
Santa Tereza do Oeste;PR;Colombo;PR;533.9
Santa Tereza do Oeste;PR;Guarapuava;PR;266.75
Santa Tereza do Oeste;PR;Araucária;PR;510.25
Santa Tereza do Oeste;PR;Toledo;PR;57.45
Santa Tereza do Oeste;PR;Fazenda Rio Grande;PR;534.85
Santa Tereza do Oeste;PR;Paranaguá;PR;615.43
Santa Tereza do Oeste;PR;Campo Largo;PR;488.08
Santa Tereza do Oeste;PR;Apucarana;PR;349.74
Santa Tereza do Oeste;PR;Pinhais;PR;525.58
Santa Tereza do Oeste;PR;Almirante Tamandaré;PR;527.74
Santa Tereza do Oeste;PR;Arapongas;PR;353.31
Santa Tereza do Oeste;PR;Piraquara;PR;553.72
Santa Tereza do Oeste;PR;Sarandi;PR;299.95
Santa Tereza do Oeste;PR;Umuarama;PR;182.18
Santa Tereza do Oeste;PR;Cambé;PR;378.67
Santa Tereza do Oeste;PR;Campo Mourão;PR;196.29
Santa Tereza do Oeste;PR;Francisco Beltrão;PR;165.24
Santa Tereza do Oeste;PR;Paranavaí;PR;328.56
Santa Tereza do Oeste;PR;Pato Branco;PR;218.57
Santa Tereza do Oeste;PR;Cianorte;PR;241.07
Santa Tereza do Oeste;PR;Telêmaco Borba;PR;494.65
Santa Tereza do Oeste;PR;Castro;PR;458.9
Santa Tereza do Oeste;PR;Rolândia;PR;371.76
Santa Tereza do Oeste;PR;Irati;PR;367.64
Santa Tereza do Oeste;PR;União da Vitória;PR;432.47
Santa Tereza do Oeste;PR;Marechal Cândido Rondon;PR;97.92
Santa Tereza do Oeste;PR;Ibiporã;PR;402.91
Santa Tereza do Oeste;PR;Prudentópolis;PR;328.52
Santa Tereza do Oeste;PR;Palmas;PR;349.53
Santa Tereza do Oeste;PR;Campina Grande do Sul;PR;547.3
Santa Tereza do Oeste;PR;Medianeira;PR;62.86
Santa Tereza do Oeste;PR;Santo Antônio da Platina;PR;545.29
Santa Tereza do Oeste;PR;Paiçandu;PR;293.66
Santa Tereza do Oeste;PR;Cornélio Procópio;PR;454.13
Santa Tereza do Oeste;PR;Lapa;PR;492.45
Santa Tereza do Oeste;PR;Dois Vizinhos;PR;143.72
Santa Tereza do Oeste;PR;São Mateus do Sul;PR;424.3
Santa Tereza do Oeste;PR;Guaratuba;PR;645.48
Santa Tereza do Oeste;PR;Jacarezinho;PR;542.07
Santa Tereza do Oeste;PR;Marialva;PR;309.11
Santa Tereza do Oeste;PR;Matinhos;PR;635.38
Santa Tereza do Oeste;PR;Rio Branco do Sul;PR;542.51
Santa Tereza do Oeste;PR;Assis Chateaubriand;PR;96.0
Santa Tereza do Oeste;PR;Mandaguari;PR;324.72
Santa Tereza do Oeste;PR;Jaguariaíva;PR;536.1
Santa Tereza do Oeste;PR;Palotina;PR;110.75
Santa Tereza do Oeste;PR;Palmeira;PR;438.75
Santa Tereza do Oeste;PR;Pitanga;PR;308.88
Santa Tereza do Oeste;PR;Ivaiporã;PR;328.01
Santa Tereza do Oeste;PR;Laranjeiras do Sul;PR;157.38
Santa Tereza do Oeste;PR;Guaíra;PR;158.44
Santa Tereza do Oeste;PR;Mandaguaçu;PR;306.31
Santa Tereza do Oeste;PR;Rio Negro;PR;521.98
Santa Tereza do Oeste;PR;Bandeirantes;PR;490.26
Santa Tereza do Oeste;PR;Itaperuçu;PR;542.04
Santa Tereza do Oeste;PR;Quedas do Iguaçu;PR;137.82
Santa Tereza do Oeste;PR;Pontal do Paraná;PR;625.71
Santa Tereza do Oeste;PR;Imbituva;PR;372.24
Santa Tereza do Oeste;PR;Campo Magro;PR;514.23
Santa Tereza do Oeste;PR;Pinhão;PR;272.12
Santa Tereza do Oeste;PR;São Miguel do Iguaçu;PR;78.89
Santa Tereza do Oeste;PR;Ibaiti;PR;547.32
Santa Tereza do Oeste;PR;Goioerê;PR;140.47
Santa Tereza do Oeste;PR;Mandirituba;PR;548.0
Santa Tereza do Oeste;PR;Nova Esperança;PR;327.53
Santa Tereza do Oeste;PR;Arapoti;PR;551.36
Santa Tereza do Oeste;PR;Santa Helena;PR;94.42
Santa Tereza do Oeste;PR;Astorga;PR;345.9
Santa Tereza do Oeste;PR;Ubiratã;PR;103.17
Santa Tereza do Oeste;PR;Reserva;PR;420.09
Santa Tereza do Oeste;PR;Santa Terezinha de Itaipu;PR;99.03
Santa Tereza do Oeste;PR;Ortigueira;PR;442.14
Santa Tereza do Oeste;PR;Quatro Barras;PR;549.94
Santa Tereza do Oeste;PR;Cruzeiro do Oeste;PR;189.38
Santa Tereza do Oeste;PR;Santo Antônio do Sudoeste;PR;149.47
Santa Tereza do Oeste;PR;Piraí do Sul;PR;490.69
Santa Tereza do Oeste;PR;Coronel Vivida;PR;214.63
Santa Tereza do Oeste;PR;Carambeí;PR;439.01
Santa Tereza do Oeste;PR;Loanda;PR;307.41
Santa Tereza do Oeste;PR;Cambará;PR;524.2
Santa Tereza do Oeste;PR;Colorado;PR;380.62
Santa Tereza do Oeste;PR;Siqueira Campos;PR;591.25
Santa Tereza do Oeste;PR;Jandaia do Sul;PR;327.13
Santa Tereza do Oeste;PR;Chopinzinho;PR;231.62
Santa Tereza do Oeste;PR;Capanema;PR;106.19
Santa Tereza do Oeste;PR;Tibagi;PR;486.76
Santa Tereza do Oeste;PR;Andirá;PR;505.52
Santa Tereza do Oeste;PR;Ampére;PR;113.73
Santa Tereza do Oeste;PR;Realeza;PR;93.12
Santa Tereza do Oeste;PR;Wenceslau Braz;PR;586.8
Santa Tereza do Oeste;PR;Contenda;PR;515.37
Santa Tereza do Oeste;PR;Cafelândia;PR;75.29
Santa Tereza do Oeste;PR;Altônia;PR;176.64
Santa Tereza do Oeste;PR;Matelândia;PR;49.21
Santa Tereza do Oeste;PR;Quitandinha;PR;545.39
Santa Tereza do Oeste;PR;Morretes;PR;593.8
Santa Tereza do Oeste;PR;Terra Roxa;PR;140.28
Santa Tereza do Oeste;PR;Antonina;PR;608.12
Santa Tereza do Oeste;PR;Tijucas do Sul;PR;578.08
Santa Tereza do Oeste;PR;Terra Boa;PR;253.53
Santa Tereza do Oeste;PR;Corbélia;PR;49.81
Santa Tereza do Oeste;PR;Sengés;PR;573.21
Santa Tereza do Oeste;PR;Mangueirinha;PR;281.54
Santa Tereza do Oeste;PR;Faxinal;PR;368.83
Santa Tereza do Oeste;PR;Cerro Azul;PR;598.02
