Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Toledo;PR;Curitiba;PR;541.98
Toledo;PR;Londrina;PR;377.18
Toledo;PR;Maringá;PR;277.95
Toledo;PR;Ponta Grossa;PR;448.19
Toledo;PR;Cascavel;PR;42.29
Toledo;PR;São José dos Pinhais;PR;559.11
Toledo;PR;Foz do Iguaçu;PR;154.53
Toledo;PR;Colombo;PR;557.51
Toledo;PR;Guarapuava;PR;290.35
Toledo;PR;Araucária;PR;533.86
Toledo;PR;Fazenda Rio Grande;PR;558.45
Toledo;PR;Paranaguá;PR;639.04
Toledo;PR;Campo Largo;PR;511.69
Toledo;PR;Apucarana;PR;334.63
Toledo;PR;Pinhais;PR;549.18
Toledo;PR;Almirante Tamandaré;PR;551.35
Toledo;PR;Arapongas;PR;338.2
Toledo;PR;Piraquara;PR;577.32
Toledo;PR;Sarandi;PR;284.84
Toledo;PR;Umuarama;PR;132.3
Toledo;PR;Cambé;PR;363.56
Toledo;PR;Campo Mourão;PR;191.02
Toledo;PR;Francisco Beltrão;PR;215.33
Toledo;PR;Paranavaí;PR;278.68
Toledo;PR;Pato Branco;PR;268.67
Toledo;PR;Cianorte;PR;211.83
Toledo;PR;Telêmaco Borba;PR;491.17
Toledo;PR;Castro;PR;482.51
Toledo;PR;Rolândia;PR;356.65
Toledo;PR;Irati;PR;391.25
Toledo;PR;União da Vitória;PR;456.08
Toledo;PR;Marechal Cândido Rondon;PR;43.73
Toledo;PR;Ibiporã;PR;387.8
Toledo;PR;Prudentópolis;PR;352.12
Toledo;PR;Palmas;PR;373.13
Toledo;PR;Campina Grande do Sul;PR;570.9
Toledo;PR;Medianeira;PR;96.57
Toledo;PR;Santo Antônio da Platina;PR;530.18
Toledo;PR;Paiçandu;PR;276.38
Toledo;PR;Cornélio Procópio;PR;439.02
Toledo;PR;Lapa;PR;516.05
Toledo;PR;Dois Vizinhos;PR;193.82
Toledo;PR;São Mateus do Sul;PR;447.9
Toledo;PR;Guaratuba;PR;669.09
Toledo;PR;Jacarezinho;PR;526.96
Toledo;PR;Marialva;PR;294.0
Toledo;PR;Matinhos;PR;658.98
Toledo;PR;Rio Branco do Sul;PR;566.12
Toledo;PR;Assis Chateaubriand;PR;46.12
Toledo;PR;Mandaguari;PR;309.61
Toledo;PR;Jaguariaíva;PR;559.7
Toledo;PR;Palotina;PR;60.87
Toledo;PR;Palmeira;PR;462.36
Toledo;PR;Pitanga;PR;305.39
Toledo;PR;Ivaiporã;PR;312.9
Toledo;PR;Laranjeiras do Sul;PR;180.99
Toledo;PR;Guaíra;PR;104.25
Toledo;PR;Mandaguaçu;PR;290.68
Toledo;PR;Rio Negro;PR;545.58
Toledo;PR;Bandeirantes;PR;475.15
Toledo;PR;Itaperuçu;PR;565.64
Toledo;PR;Quedas do Iguaçu;PR;161.43
Toledo;PR;Pontal do Paraná;PR;649.31
Toledo;PR;Imbituva;PR;395.85
Toledo;PR;Campo Magro;PR;537.83
Toledo;PR;Pinhão;PR;295.73
Toledo;PR;São Miguel do Iguaçu;PR;112.6
Toledo;PR;Ibaiti;PR;532.21
Toledo;PR;Goioerê;PR;117.0
Toledo;PR;Mandirituba;PR;571.6
Toledo;PR;Nova Esperança;PR;300.12
Toledo;PR;Arapoti;PR;574.97
Toledo;PR;Santa Helena;PR;84.21
Toledo;PR;Astorga;PR;330.79
Toledo;PR;Ubiratã;PR;126.77
Toledo;PR;Reserva;PR;416.61
Toledo;PR;Santa Terezinha de Itaipu;PR;132.74
Toledo;PR;Ortigueira;PR;427.03
Toledo;PR;Quatro Barras;PR;573.54
Toledo;PR;Cruzeiro do Oeste;PR;153.84
Toledo;PR;Santo Antônio do Sudoeste;PR;199.56
Toledo;PR;Piraí do Sul;PR;514.29
Toledo;PR;Coronel Vivida;PR;271.32
Toledo;PR;Carambeí;PR;462.62
Toledo;PR;Loanda;PR;257.52
Toledo;PR;Cambará;PR;509.09
Toledo;PR;Colorado;PR;353.21
Toledo;PR;Siqueira Campos;PR;576.14
Toledo;PR;Jandaia do Sul;PR;312.02
Toledo;PR;Chopinzinho;PR;255.22
Toledo;PR;Capanema;PR;156.28
Toledo;PR;Tibagi;PR;510.37
Toledo;PR;Andirá;PR;490.41
Toledo;PR;Ampére;PR;163.82
Toledo;PR;Realeza;PR;143.21
Toledo;PR;Wenceslau Braz;PR;587.08
Toledo;PR;Contenda;PR;538.98
Toledo;PR;Cafelândia;PR;70.54
Toledo;PR;Altônia;PR;126.76
Toledo;PR;Matelândia;PR;82.92
Toledo;PR;Quitandinha;PR;569.0
Toledo;PR;Morretes;PR;617.41
Toledo;PR;Terra Roxa;PR;90.4
Toledo;PR;Antonina;PR;631.73
Toledo;PR;Tijucas do Sul;PR;601.69
Toledo;PR;Terra Boa;PR;233.76
Toledo;PR;Corbélia;PR;73.41
Toledo;PR;Sengés;PR;596.81
Toledo;PR;Mangueirinha;PR;305.15
Toledo;PR;Faxinal;PR;353.72
Toledo;PR;Cerro Azul;PR;621.63
Toledo;PR;Cruz Machado;PR;374.23
Toledo;PR;Sertanópolis;PR;407.76
Toledo;PR;Marmeleiro;PR;222.42
Toledo;PR;Tapejara;PR;179.21
Toledo;PR;Bituruna;PR;375.65
Toledo;PR;Cândido de Abreu;PR;344.53
Toledo;PR;Salto do Lontra;PR;161.74
Toledo;PR;Clevelândia;PR;305.96
Toledo;PR;Candói;PR;250.83
Toledo;PR;Terra Rica;PR;308.82
Toledo;PR;Bela Vista do Paraíso;PR;404.62
Toledo;PR;Capitão Leônidas Marques;PR;109.01
Toledo;PR;Rebouças;PR;408.61
Toledo;PR;Ipiranga;PR;438.66
Toledo;PR;Santa Izabel do Oeste;PR;152.51
Toledo;PR;Rio Azul;PR;394.74
Toledo;PR;Alto Paraná;PR;288.75
Toledo;PR;Assaí;PR;419.37
Toledo;PR;São João do Triunfo;PR;458.2
Toledo;PR;Curiúva;PR;522.16
Toledo;PR;Tamarana;PR;399.75
Toledo;PR;Carlópolis;PR;574.26
Toledo;PR;Paraíso do Norte;PR;248.23
Toledo;PR;Ivaí;PR;399.0
Toledo;PR;Araruna;PR;209.76
Toledo;PR;Peabirú;PR;204.36
