Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Vera Cruz do Oeste;PR;Curitiba;PR;551.24
Vera Cruz do Oeste;PR;Londrina;PR;425.16
Vera Cruz do Oeste;PR;Maringá;PR;325.92
Vera Cruz do Oeste;PR;Ponta Grossa;PR;457.45
Vera Cruz do Oeste;PR;Cascavel;PR;52.61
Vera Cruz do Oeste;PR;São José dos Pinhais;PR;568.37
Vera Cruz do Oeste;PR;Foz do Iguaçu;PR;107.81
Vera Cruz do Oeste;PR;Colombo;PR;566.77
Vera Cruz do Oeste;PR;Guarapuava;PR;299.61
Vera Cruz do Oeste;PR;Araucária;PR;543.12
Vera Cruz do Oeste;PR;Toledo;PR;48.72
Vera Cruz do Oeste;PR;Fazenda Rio Grande;PR;567.72
Vera Cruz do Oeste;PR;Paranaguá;PR;648.3
Vera Cruz do Oeste;PR;Campo Largo;PR;520.95
Vera Cruz do Oeste;PR;Apucarana;PR;382.61
Vera Cruz do Oeste;PR;Pinhais;PR;558.45
Vera Cruz do Oeste;PR;Almirante Tamandaré;PR;560.61
Vera Cruz do Oeste;PR;Arapongas;PR;386.18
Vera Cruz do Oeste;PR;Piraquara;PR;586.58
Vera Cruz do Oeste;PR;Sarandi;PR;332.81
Vera Cruz do Oeste;PR;Umuarama;PR;177.67
Vera Cruz do Oeste;PR;Cambé;PR;411.54
Vera Cruz do Oeste;PR;Campo Mourão;PR;229.86
Vera Cruz do Oeste;PR;Francisco Beltrão;PR;198.62
Vera Cruz do Oeste;PR;Paranavaí;PR;324.05
Vera Cruz do Oeste;PR;Pato Branco;PR;251.96
Vera Cruz do Oeste;PR;Cianorte;PR;257.2
Vera Cruz do Oeste;PR;Telêmaco Borba;PR;527.52
Vera Cruz do Oeste;PR;Castro;PR;491.77
Vera Cruz do Oeste;PR;Rolândia;PR;404.63
Vera Cruz do Oeste;PR;Irati;PR;400.51
Vera Cruz do Oeste;PR;União da Vitória;PR;465.34
Vera Cruz do Oeste;PR;Marechal Cândido Rondon;PR;87.56
Vera Cruz do Oeste;PR;Ibiporã;PR;435.77
Vera Cruz do Oeste;PR;Prudentópolis;PR;361.38
Vera Cruz do Oeste;PR;Palmas;PR;382.39
Vera Cruz do Oeste;PR;Campina Grande do Sul;PR;580.16
Vera Cruz do Oeste;PR;Medianeira;PR;49.86
Vera Cruz do Oeste;PR;Santo Antônio da Platina;PR;578.16
Vera Cruz do Oeste;PR;Paiçandu;PR;326.53
Vera Cruz do Oeste;PR;Cornélio Procópio;PR;487.0
Vera Cruz do Oeste;PR;Lapa;PR;525.32
Vera Cruz do Oeste;PR;Dois Vizinhos;PR;177.11
Vera Cruz do Oeste;PR;São Mateus do Sul;PR;457.16
Vera Cruz do Oeste;PR;Guaratuba;PR;678.35
Vera Cruz do Oeste;PR;Jacarezinho;PR;574.94
Vera Cruz do Oeste;PR;Marialva;PR;341.97
Vera Cruz do Oeste;PR;Matinhos;PR;668.24
Vera Cruz do Oeste;PR;Rio Branco do Sul;PR;575.38
Vera Cruz do Oeste;PR;Assis Chateaubriand;PR;91.5
Vera Cruz do Oeste;PR;Mandaguari;PR;357.58
Vera Cruz do Oeste;PR;Jaguariaíva;PR;568.96
Vera Cruz do Oeste;PR;Palotina;PR;106.24
Vera Cruz do Oeste;PR;Palmeira;PR;471.62
Vera Cruz do Oeste;PR;Pitanga;PR;341.74
Vera Cruz do Oeste;PR;Ivaiporã;PR;360.88
Vera Cruz do Oeste;PR;Laranjeiras do Sul;PR;190.25
Vera Cruz do Oeste;PR;Guaíra;PR;148.09
Vera Cruz do Oeste;PR;Mandaguaçu;PR;339.18
Vera Cruz do Oeste;PR;Rio Negro;PR;554.84
Vera Cruz do Oeste;PR;Bandeirantes;PR;523.13
Vera Cruz do Oeste;PR;Itaperuçu;PR;574.91
Vera Cruz do Oeste;PR;Quedas do Iguaçu;PR;170.69
Vera Cruz do Oeste;PR;Pontal do Paraná;PR;658.57
Vera Cruz do Oeste;PR;Imbituva;PR;405.11
Vera Cruz do Oeste;PR;Campo Magro;PR;547.09
Vera Cruz do Oeste;PR;Pinhão;PR;304.99
Vera Cruz do Oeste;PR;São Miguel do Iguaçu;PR;65.89
Vera Cruz do Oeste;PR;Ibaiti;PR;580.18
Vera Cruz do Oeste;PR;Goioerê;PR;162.37
Vera Cruz do Oeste;PR;Mandirituba;PR;580.87
Vera Cruz do Oeste;PR;Nova Esperança;PR;360.4
Vera Cruz do Oeste;PR;Arapoti;PR;584.23
Vera Cruz do Oeste;PR;Santa Helena;PR;60.16
Vera Cruz do Oeste;PR;Astorga;PR;378.76
Vera Cruz do Oeste;PR;Ubiratã;PR;136.04
Vera Cruz do Oeste;PR;Reserva;PR;452.95
Vera Cruz do Oeste;PR;Santa Terezinha de Itaipu;PR;86.03
Vera Cruz do Oeste;PR;Ortigueira;PR;475.01
Vera Cruz do Oeste;PR;Quatro Barras;PR;582.81
Vera Cruz do Oeste;PR;Cruzeiro do Oeste;PR;199.21
Vera Cruz do Oeste;PR;Santo Antônio do Sudoeste;PR;182.85
Vera Cruz do Oeste;PR;Piraí do Sul;PR;523.55
Vera Cruz do Oeste;PR;Coronel Vivida;PR;248.01
Vera Cruz do Oeste;PR;Carambeí;PR;471.88
Vera Cruz do Oeste;PR;Loanda;PR;302.9
Vera Cruz do Oeste;PR;Cambará;PR;557.06
Vera Cruz do Oeste;PR;Colorado;PR;413.48
Vera Cruz do Oeste;PR;Siqueira Campos;PR;624.11
Vera Cruz do Oeste;PR;Jandaia do Sul;PR;360.0
Vera Cruz do Oeste;PR;Chopinzinho;PR;264.49
Vera Cruz do Oeste;PR;Capanema;PR;139.57
Vera Cruz do Oeste;PR;Tibagi;PR;519.63
Vera Cruz do Oeste;PR;Andirá;PR;538.38
Vera Cruz do Oeste;PR;Ampére;PR;147.11
Vera Cruz do Oeste;PR;Realeza;PR;126.5
Vera Cruz do Oeste;PR;Wenceslau Braz;PR;619.66
Vera Cruz do Oeste;PR;Contenda;PR;548.24
Vera Cruz do Oeste;PR;Cafelândia;PR;108.16
Vera Cruz do Oeste;PR;Altônia;PR;172.13
Vera Cruz do Oeste;PR;Matelândia;PR;36.2
Vera Cruz do Oeste;PR;Quitandinha;PR;578.26
Vera Cruz do Oeste;PR;Morretes;PR;626.67
Vera Cruz do Oeste;PR;Terra Roxa;PR;135.77
Vera Cruz do Oeste;PR;Antonina;PR;640.99
Vera Cruz do Oeste;PR;Tijucas do Sul;PR;610.95
Vera Cruz do Oeste;PR;Terra Boa;PR;286.4
Vera Cruz do Oeste;PR;Corbélia;PR;82.67
Vera Cruz do Oeste;PR;Sengés;PR;606.08
Vera Cruz do Oeste;PR;Mangueirinha;PR;314.41
Vera Cruz do Oeste;PR;Faxinal;PR;401.69
Vera Cruz do Oeste;PR;Cerro Azul;PR;630.89
Vera Cruz do Oeste;PR;Cruz Machado;PR;383.49
Vera Cruz do Oeste;PR;Sertanópolis;PR;455.74
Vera Cruz do Oeste;PR;Marmeleiro;PR;205.71
Vera Cruz do Oeste;PR;Tapejara;PR;224.59
Vera Cruz do Oeste;PR;Bituruna;PR;384.91
Vera Cruz do Oeste;PR;Cândido de Abreu;PR;380.88
Vera Cruz do Oeste;PR;Salto do Lontra;PR;145.03
Vera Cruz do Oeste;PR;Clevelândia;PR;289.25
Vera Cruz do Oeste;PR;Candói;PR;260.1
Vera Cruz do Oeste;PR;Terra Rica;PR;354.2
Vera Cruz do Oeste;PR;Bela Vista do Paraíso;PR;452.6
Vera Cruz do Oeste;PR;Capitão Leônidas Marques;PR;92.3
Vera Cruz do Oeste;PR;Rebouças;PR;417.87
Vera Cruz do Oeste;PR;Ipiranga;PR;447.92
Vera Cruz do Oeste;PR;Santa Izabel do Oeste;PR;135.8
Vera Cruz do Oeste;PR;Rio Azul;PR;404.0
Vera Cruz do Oeste;PR;Alto Paraná;PR;334.12
Vera Cruz do Oeste;PR;Assaí;PR;467.35
Vera Cruz do Oeste;PR;São João do Triunfo;PR;467.46
Vera Cruz do Oeste;PR;Curiúva;PR;570.14
Vera Cruz do Oeste;PR;Tamarana;PR;447.73
Vera Cruz do Oeste;PR;Carlópolis;PR;622.24
Vera Cruz do Oeste;PR;Paraíso do Norte;PR;293.61
Vera Cruz do Oeste;PR;Ivaí;PR;408.26
Vera Cruz do Oeste;PR;Araruna;PR;251.29
Vera Cruz do Oeste;PR;Peabirú;PR;252.34
Vera Cruz do Oeste;PR;Engenheiro Beltrão;PR;269.05
Vera Cruz do Oeste;PR;Campina da Lagoa;PR;166.35
Vera Cruz do Oeste;PR;Jaguapitã;PR;399.13
Vera Cruz do Oeste;PR;Mallet;PR;422.49
Vera Cruz do Oeste;PR;General Carneiro;PR;440.14
Vera Cruz do Oeste;PR;Iporã;PR;148.43
Vera Cruz do Oeste;PR;Manoel Ribas;PR;342.11
