Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Verê;PR;Curitiba;PR;454.12
Verê;PR;Londrina;PR;496.39
Verê;PR;Maringá;PR;460.16
Verê;PR;Ponta Grossa;PR;360.33
Verê;PR;Cascavel;PR;179.98
Verê;PR;São José dos Pinhais;PR;471.25
Verê;PR;Foz do Iguaçu;PR;286.59
Verê;PR;Colombo;PR;469.65
Verê;PR;Guarapuava;PR;202.49
Verê;PR;Araucária;PR;446.0
Verê;PR;Toledo;PR;217.25
Verê;PR;Fazenda Rio Grande;PR;470.6
Verê;PR;Paranaguá;PR;551.18
Verê;PR;Campo Largo;PR;423.83
Verê;PR;Apucarana;PR;445.6
Verê;PR;Pinhais;PR;461.33
Verê;PR;Almirante Tamandaré;PR;463.49
Verê;PR;Arapongas;PR;468.3
Verê;PR;Piraquara;PR;489.47
Verê;PR;Sarandi;PR;467.05
Verê;PR;Umuarama;PR;341.98
Verê;PR;Cambé;PR;490.43
Verê;PR;Campo Mourão;PR;364.1
Verê;PR;Francisco Beltrão;PR;33.97
Verê;PR;Paranavaí;PR;488.36
Verê;PR;Pato Branco;PR;52.74
Verê;PR;Cianorte;PR;408.17
Verê;PR;Telêmaco Borba;PR;457.56
Verê;PR;Castro;PR;394.65
Verê;PR;Rolândia;PR;483.52
Verê;PR;Irati;PR;303.39
Verê;PR;União da Vitória;PR;296.91
Verê;PR;Marechal Cândido Rondon;PR;257.71
Verê;PR;Ibiporã;PR;509.19
Verê;PR;Prudentópolis;PR;264.27
Verê;PR;Palmas;PR;161.91
Verê;PR;Campina Grande do Sul;PR;483.05
Verê;PR;Medianeira;PR;228.63
Verê;PR;Santo Antônio da Platina;PR;584.35
Verê;PR;Paiçandu;PR;460.76
Verê;PR;Cornélio Procópio;PR;560.42
Verê;PR;Lapa;PR;428.2
Verê;PR;Dois Vizinhos;PR;25.86
Verê;PR;São Mateus do Sul;PR;360.04
Verê;PR;Guaratuba;PR;581.23
Verê;PR;Jacarezinho;PR;605.38
Verê;PR;Marialva;PR;476.21
Verê;PR;Matinhos;PR;571.12
Verê;PR;Rio Branco do Sul;PR;478.26
Verê;PR;Assis Chateaubriand;PR;255.8
Verê;PR;Mandaguari;PR;452.57
Verê;PR;Jaguariaíva;PR;471.84
Verê;PR;Palotina;PR;270.54
Verê;PR;Palmeira;PR;374.5
Verê;PR;Pitanga;PR;269.85
Verê;PR;Ivaiporã;PR;341.33
Verê;PR;Laranjeiras do Sul;PR;118.88
Verê;PR;Guaíra;PR;318.24
Verê;PR;Mandaguaçu;PR;473.41
Verê;PR;Rio Negro;PR;444.52
Verê;PR;Bandeirantes;PR;596.55
Verê;PR;Itaperuçu;PR;477.79
Verê;PR;Quedas do Iguaçu;PR;83.35
Verê;PR;Pontal do Paraná;PR;561.46
Verê;PR;Imbituva;PR;307.99
Verê;PR;Campo Magro;PR;449.98
Verê;PR;Pinhão;PR;184.57
Verê;PR;São Miguel do Iguaçu;PR;244.66
Verê;PR;Ibaiti;PR;517.2
Verê;PR;Goioerê;PR;307.57
Verê;PR;Mandirituba;PR;483.75
Verê;PR;Nova Esperança;PR;494.63
Verê;PR;Arapoti;PR;487.11
Verê;PR;Santa Helena;PR;260.19
Verê;PR;Astorga;PR;513.0
Verê;PR;Ubiratã;PR;270.27
Verê;PR;Reserva;PR;416.23
Verê;PR;Santa Terezinha de Itaipu;PR;264.81
Verê;PR;Ortigueira;PR;469.28
Verê;PR;Quatro Barras;PR;485.69
Verê;PR;Cruzeiro do Oeste;PR;356.48
Verê;PR;Santo Antônio do Sudoeste;PR;122.0
Verê;PR;Piraí do Sul;PR;426.44
Verê;PR;Coronel Vivida;PR;47.34
Verê;PR;Carambeí;PR;374.76
Verê;PR;Loanda;PR;467.2
Verê;PR;Cambará;PR;621.48
Verê;PR;Colorado;PR;547.72
Verê;PR;Siqueira Campos;PR;549.97
Verê;PR;Jandaia do Sul;PR;429.26
Verê;PR;Chopinzinho;PR;64.04
Verê;PR;Capanema;PR;131.88
Verê;PR;Tibagi;PR;422.51
Verê;PR;Andirá;PR;611.8
Verê;PR;Ampére;PR;84.11
Verê;PR;Realeza;PR;99.24
Verê;PR;Wenceslau Braz;PR;522.54
Verê;PR;Contenda;PR;451.12
Verê;PR;Cafelândia;PR;242.39
Verê;PR;Altônia;PR;336.43
Verê;PR;Matelândia;PR;214.98
Verê;PR;Quitandinha;PR;481.14
Verê;PR;Morretes;PR;529.55
Verê;PR;Terra Roxa;PR;300.07
Verê;PR;Antonina;PR;543.87
Verê;PR;Tijucas do Sul;PR;513.83
Verê;PR;Terra Boa;PR;420.63
Verê;PR;Corbélia;PR;216.91
Verê;PR;Sengés;PR;508.96
Verê;PR;Mangueirinha;PR;93.93
Verê;PR;Faxinal;PR;403.64
Verê;PR;Cerro Azul;PR;533.77
Verê;PR;Cruz Machado;PR;339.29
Verê;PR;Sertanópolis;PR;543.09
Verê;PR;Marmeleiro;PR;46.47
Verê;PR;Tapejara;PR;375.55
Verê;PR;Bituruna;PR;264.49
Verê;PR;Cândido de Abreu;PR;344.15
Verê;PR;Salto do Lontra;PR;56.19
Verê;PR;Clevelândia;PR;102.47
Verê;PR;Candói;PR;127.86
Verê;PR;Terra Rica;PR;518.5
Verê;PR;Bela Vista do Paraíso;PR;539.95
Verê;PR;Capitão Leônidas Marques;PR;134.44
Verê;PR;Rebouças;PR;320.75
Verê;PR;Ipiranga;PR;350.8
Verê;PR;Santa Izabel do Oeste;PR;76.89
Verê;PR;Rio Azul;PR;306.88
Verê;PR;Alto Paraná;PR;509.63
Verê;PR;Assaí;PR;540.77
Verê;PR;São João do Triunfo;PR;370.34
Verê;PR;Curiúva;PR;504.25
Verê;PR;Tamarana;PR;449.67
Verê;PR;Carlópolis;PR;605.31
Verê;PR;Paraíso do Norte;PR;457.91
