Cidade 1;Estado 1;Cidade 2;Estado 2;Distância (km)
Vitorino;PR;Curitiba;PR;452.32
Vitorino;PR;Londrina;PR;509.43
Vitorino;PR;Maringá;PR;491.91
Vitorino;PR;Ponta Grossa;PR;358.53
Vitorino;PR;Cascavel;PR;217.57
Vitorino;PR;São José dos Pinhais;PR;469.45
Vitorino;PR;Foz do Iguaçu;PR;324.18
Vitorino;PR;Colombo;PR;467.85
Vitorino;PR;Guarapuava;PR;200.7
Vitorino;PR;Araucária;PR;444.2
Vitorino;PR;Toledo;PR;254.84
Vitorino;PR;Fazenda Rio Grande;PR;468.8
Vitorino;PR;Paranaguá;PR;549.39
Vitorino;PR;Campo Largo;PR;422.03
Vitorino;PR;Apucarana;PR;458.63
Vitorino;PR;Pinhais;PR;459.53
Vitorino;PR;Almirante Tamandaré;PR;461.69
Vitorino;PR;Arapongas;PR;481.34
Vitorino;PR;Piraquara;PR;487.67
Vitorino;PR;Sarandi;PR;498.8
Vitorino;PR;Umuarama;PR;379.57
Vitorino;PR;Cambé;PR;503.47
Vitorino;PR;Campo Mourão;PR;399.07
Vitorino;PR;Francisco Beltrão;PR;42.78
Vitorino;PR;Paranavaí;PR;525.95
Vitorino;PR;Pato Branco;PR;15.24
Vitorino;PR;Cianorte;PR;438.9
Vitorino;PR;Telêmaco Borba;PR;455.77
Vitorino;PR;Castro;PR;392.85
Vitorino;PR;Rolândia;PR;496.55
Vitorino;PR;Irati;PR;301.59
Vitorino;PR;União da Vitória;PR;240.42
Vitorino;PR;Marechal Cândido Rondon;PR;295.31
Vitorino;PR;Ibiporã;PR;522.23
Vitorino;PR;Prudentópolis;PR;262.47
Vitorino;PR;Palmas;PR;109.25
Vitorino;PR;Campina Grande do Sul;PR;481.25
Vitorino;PR;Medianeira;PR;266.23
Vitorino;PR;Santo Antônio da Platina;PR;582.56
Vitorino;PR;Paiçandu;PR;492.51
Vitorino;PR;Cornélio Procópio;PR;573.46
Vitorino;PR;Lapa;PR;426.4
Vitorino;PR;Dois Vizinhos;PR;92.57
Vitorino;PR;São Mateus do Sul;PR;324.4
Vitorino;PR;Guaratuba;PR;579.43
Vitorino;PR;Jacarezinho;PR;603.58
Vitorino;PR;Marialva;PR;479.51
Vitorino;PR;Matinhos;PR;569.33
Vitorino;PR;Rio Branco do Sul;PR;476.47
Vitorino;PR;Assis Chateaubriand;PR;293.39
Vitorino;PR;Mandaguari;PR;465.61
Vitorino;PR;Jaguariaíva;PR;470.05
Vitorino;PR;Palotina;PR;308.13
Vitorino;PR;Palmeira;PR;372.7
Vitorino;PR;Pitanga;PR;282.88
Vitorino;PR;Ivaiporã;PR;354.37
Vitorino;PR;Laranjeiras do Sul;PR;142.62
Vitorino;PR;Guaíra;PR;355.83
Vitorino;PR;Mandaguaçu;PR;505.16
Vitorino;PR;Rio Negro;PR;388.03
Vitorino;PR;Bandeirantes;PR;609.59
Vitorino;PR;Itaperuçu;PR;475.99
Vitorino;PR;Quedas do Iguaçu;PR;148.98
Vitorino;PR;Pontal do Paraná;PR;559.66
Vitorino;PR;Imbituva;PR;306.19
Vitorino;PR;Campo Magro;PR;448.18
Vitorino;PR;Pinhão;PR;182.77
Vitorino;PR;São Miguel do Iguaçu;PR;282.25
Vitorino;PR;Ibaiti;PR;515.4
Vitorino;PR;Goioerê;PR;338.3
Vitorino;PR;Mandirituba;PR;454.82
